# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Sep 10 18:23:25 2020
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN cb_flag:        Circumbinary Flag
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN pl_imppar:      Impact Parameter
# COLUMN pl_trandep:     Transit Depth [%]
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN pl_occdep:      Occultation Depth [%]
# COLUMN pl_orbtper:     Epoch of Periastron [days]
# COLUMN pl_orblper:     Argument of Periastron [deg]
# COLUMN pl_rvamp:       Radial Velocity Amplitude [m/s]
# COLUMN pl_projobliq:   Projected Obliquity [deg]
# COLUMN pl_trueobliq:   True Obliquity [deg]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_radv:        Systemic Radial Velocity [km/s]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [decimal]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [decimal]
# COLUMN sy_pm:          Total Proper Motion [mas/yr]
# COLUMN sy_pmra:        Proper Motion (RA) [mas/yr]
# COLUMN sy_pmdec:       Proper Motion (Dec) [mas/yr]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_plx:         Parallax [mas]
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_jmag:        J (2MASS) Magnitude
# COLUMN sy_hmag:        H (2MASS) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_umag:        u (Sloan) Magnitude
# COLUMN sy_gmag:        g (Sloan) Magnitude
# COLUMN sy_rmag:        r (Sloan) Magnitude
# COLUMN sy_imag:        i (Sloan) Magnitude
# COLUMN sy_zmag:        z (Sloan) Magnitude
# COLUMN sy_w1mag:       W1 (WISE) Magnitude
# COLUMN sy_w2mag:       W2 (WISE) Magnitude
# COLUMN sy_w3mag:       W3 (WISE) Magnitude
# COLUMN sy_w4mag:       W4 (WISE) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_tmag:        TESS Magnitude
# COLUMN sy_kepmag:      Kepler Magnitude
# COLUMN st_nphot:       Number of Photometry Time Series
# COLUMN st_nspec:       Number of Stellar Spectra Measurements
# COLUMN pl_nespec:      Number of Emission Spectroscopy Measurements
#
pl_name,hostname,pl_letter,sy_snum,sy_pnum,sy_mnum,cb_flag,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,rastr,ra,decstr,dec,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_tmag,sy_kepmag,st_nphot,st_nspec,pl_nespec
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,b,2,1,0,1,2013,,84.000000,12.300,1.100,4131.79000,13.00000,12.200000,,,,,,0,,,,,,,,,,,,M5.5/M6,,,0.19,,,,,0.030,,,,,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,,,,,,16.9930000,15.7880000,10.1620000,9.5800000,9.2370010,,,,,,9.0470000,8.8040000,8.5580000,7.8170000,,12.0890000,,0,0,0
2MASS J01225093-2439505 b,2MASS J01225093-2439505,b,1,1,0,0,2013,,52.000000,11.209,1.000,7786.50000,24.50000,30.400000,,,1600,,,0,,,,,,,,,,,,M3.5 V,3530.00,0.37,0.40,,,-1.720,4.86,0.120,10.11868,,,9.60,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,172.4426671,120.4550000,-123.3980000,33.8281000,29.5326000,15.7060000,14.2440000,10.0840000,9.4700000,9.1980000,,,,,,9.0220000,8.8570000,8.7470000,8.2980000,12.9025000,11.6243000,,0,0,0
2MASS J02192210-3925225 b,2MASS J02192210-3925225,b,1,1,0,0,2015,,156.000000,16.141,1.440,4417.83700,13.90000,5.770000,,,,,,0,,,,,,,,,,,,M6,3064.00,0.28,0.11,,,-2.230,4.59,0.035,,6.5000,,10.60,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,,,,,,18.5490000,,11.3810000,10.8110000,10.4040000,,,,,,10.1480000,9.9010000,9.6140000,9.0010000,15.0123000,13.4304000,,0,0,0
2MASS J04414489+2301513 b,2MASS J04414489+2301513,b,1,1,0,0,2010,,15.000000,12.600,1.130,2383.60000,7.50000,6.550000,,,,,,0,,,,,,,,,,,,M8.5,,,0.02,,,,,0.001,,,,,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,,,,,,,,14.4190000,13.7260000,13.1610000,,,,,,,,,,18.9668000,17.1815000,,0,0,0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,b,1,1,0,0,2004,,46.000000,13.000,1.160,1271.00000,4.00000,3.180000,,,1150,,,0,,,,,,,,,,,,M8,2825.00,0.22,0.19,,,-2.561,5.03,0.008,25.27945,,,,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,68.3315134,-64.0825000,-23.7198000,64.3080000,15.5242000,,,12.9950000,12.3880000,11.9450000,,,,,,11.5740000,11.0170000,9.4690000,8.1210000,17.4076000,15.6620000,,0,0,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,b,2,1,0,1,2015,416.00000000,0.920000,13.400,1.200,603.87700,1.90000,1.380000,,,,,,0,,,,,,,,,,,,,,,0.48,,,,,,,,,,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,6.9650162,5.1963700,-4.6378000,396.3320000,2.4952200,12.1120000,12.6510000,12.7570000,12.8890000,12.9550000,,,,,,12.8620000,12.9200000,12.6700000,9.2030000,12.1376000,12.4561000,12.264,0,0,0
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,b,1,1,0,0,2009,7336.50000000,,10.310,0.920,6657.48000,20.95000,33.400000,0.260000,,2075,46.200,,0,,,,,,,,223.0000,,,,M8.5,2300.00,0.12,0.08,,,-3.480,,,,,,13.00,21h40m29.24s,325.1218214,+16d25m16.83s,16.4213408,,,,,,,,12.9400000,12.2660000,11.8260000,30.0000000,21.5491000,19.7244000,16.8302000,15.1339000,11.3750000,11.1350000,10.6870000,8.9710000,17.3961000,15.5475000,,0,0,0
2MASS J22362452+4751425 b,2MASS J22362452+4751425,b,1,1,0,0,2016,,230.000000,12.300,1.100,3972.87500,12.50000,11.700000,,,,,,0,,,,,,,,,,,,K7 V,4045.00,,0.60,,,,,0.120,,,,-21.50,22h36m24.62s,339.1025931,+47d51m42.06s,47.8616830,69.8897974,62.8913000,-30.4839000,69.5737000,14.3444000,13.7310000,12.3680000,9.9750000,9.3380000,9.1480000,,,,,,9.0580000,9.0940000,8.9470000,8.7310000,11.9484000,11.1286000,,0,0,0
30 Ari B b,30 Ari B,b,4,1,0,0,2009,335.10001000,0.990000,12.300,1.100,4392.41060,13.82000,13.000000,0.290000,,,,,0,,,,,,,2454538.000000,307.0000,272.000,,,F6 V,6331.00,1.41,1.93,0.190,[Fe/H],0.460,4.43,0.910,,38.3000,,,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,141.8135318,141.4110000,-10.6774000,44.6570000,22.3641000,7.4580000,7.0920900,6.0800000,5.9080000,5.8220000,,,,,,5.9630000,5.6690000,5.8250000,5.6790000,6.9608500,6.6040000,,1,0,0
4 UMa b,4 UMa,b,1,1,0,0,2006,269.30000000,0.870000,12.700,1.130,2256.50000,7.10000,6.050000,0.432000,,,,,0,,,,,,,2452987.393600,23.8100,215.550,,,K1 III,4415.00,18.11,1.23,-0.250,[Fe/H],2.050,1.80,4.604,,,,,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,66.6571379,-61.2227000,26.3620000,73.4603000,13.5901000,5.7700000,4.5801000,2.6190000,2.0210000,1.7340000,,,,,,-0.3420000,0.1000000,1.8170000,1.7550000,4.2377300,3.5681000,,1,0,0
42 Dra b,42 Dra,b,2,1,0,0,2008,479.10000000,1.190000,13.000,1.160,1233.13000,3.88000,3.080000,0.380000,,,,,0,,,,,,,2452757.400000,218.7000,110.500,,,K1.5 III,4200.00,22.03,0.98,-0.460,[Fe/H],2.130,1.71,9.490,,1.0000,,,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,108.2005422,105.2480000,-25.1041000,90.6545000,11.0061000,6.0050000,4.8262000,2.9490000,2.1970000,2.0850000,,,,,,-0.1520000,0.3720000,2.0220000,1.8920000,4.4321600,3.7535000,,1,0,0
47 UMa b,47 UMa,b,1,3,0,0,1996,1078.00000000,2.100000,13.200,1.180,804.08000,2.53000,1.920000,0.032000,,,,,0,,,,,,,2451917.000000,334.0000,48.400,,,G0 V,5872.00,1.21,1.06,0.040,[M/H],0.198,4.30,,0.83662,2.8000,,11.22,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,322.3708569,-317.6420000,55.0139000,13.7967000,72.4528000,5.6460000,5.0335200,3.9600000,3.7360000,3.7500000,,,,,,,,,,4.8783700,4.4698000,,1,3,0
47 UMa c,47 UMa,c,1,3,0,0,2001,2391.00000000,3.600000,14.200,1.270,171.62100,0.54000,0.329000,0.098000,,,,,0,,,,,,,2452441.000000,295.0000,8.000,,,G1 V,5872.00,1.21,1.06,0.040,[M/H],0.198,4.30,,0.83662,,,,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,322.3708569,-317.6420000,55.0139000,13.7967000,72.4528000,5.6460000,5.0335200,3.9600000,3.7360000,3.7500000,,,,,,,,,,4.8783700,4.4698000,,1,3,0
47 UMa d,47 UMa,d,1,3,0,0,2009,14002.00000000,11.600000,13.500,1.200,521.22000,1.64000,1.160000,0.160000,,,,,0,,,,,,,2451736.000000,110.0000,13.800,,,,5872.00,1.21,1.06,0.040,[M/H],0.198,4.30,,0.83662,,,,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,322.3708569,-317.6420000,55.0139000,13.7967000,72.4528000,5.6460000,5.0335200,3.9600000,3.7360000,3.7500000,,,,,,,,,,4.8783700,4.4698000,,1,3,0
51 Eri b,51 Eri,b,3,1,0,0,2015,11688.00000000,12.000000,13.400,1.190,635.66000,2.00000,1.450000,0.450000,,700,133.000,,0,,,,,,,2455563.000000,87.0000,,,,F0 IV,7295.00,1.49,1.65,-0.027,[M/H],0.752,4.31,0.020,0.70712,,,17.30,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,77.7287954,44.3523000,-63.8329000,29.7575000,33.5770000,5.4860000,5.2114900,4.7440000,4.7700000,4.5370000,,,,,,4.5430000,4.3100000,4.5750000,4.3900000,5.1580600,4.9574000,,1,0,0
51 Peg b,51 Peg,b,1,1,0,0,1995,4.23078500,0.052700,14.300,1.270,146.20180,0.46000,0.275000,0.013000,,,80.000,,0,,,,,,,2450001.510000,58.0000,55.940,,,,5758.00,1.18,1.03,0.180,[M/H],0.136,4.31,10.000,0.89374,2.2000,30.00,-33.25,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,216.4603396,207.3630000,62.0940000,15.4614000,64.6488000,6.1040000,5.4530900,4.6550000,4.2340000,3.9110000,,,,,,3.9090000,3.6240000,3.9290000,3.9040000,5.2864700,4.8576000,,1,4,0
55 Cnc b,55 Cnc,b,2,5,0,0,1996,14.65152000,0.115227,13.900,1.240,263.97850,0.83060,0.540000,0.003400,,700,90.000,,0,,,,,,,2453021.080000,98.0000,71.400,,,K0 IV-V,5250.00,0.96,0.95,0.350,[M/H],-0.197,4.42,5.500,1.41851,2.0000,38.50,27.25,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,539.1329986,-485.8720000,-233.6510000,12.5855000,79.4274000,6.8160000,5.9508400,4.7680000,4.2650000,4.0150000,,,,,,,,,,5.7297300,5.2058000,,1,11,0
55 Cnc c,55 Cnc,c,2,5,0,0,2004,44.41750000,0.241376,8.510,0.760,54.47380,0.17140,0.486000,0.020000,,,90.000,,0,,,,,,,2453028.630000,51.0000,10.180,,,,5250.00,0.96,0.95,0.350,[M/H],-0.197,4.42,,1.41851,,,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,539.1329986,-485.8720000,-233.6510000,12.5855000,79.4274000,6.8160000,5.9508400,4.7680000,4.2650000,4.0150000,,,,,,,,,,5.7297300,5.2058000,,1,11,0
55 Cnc d,55 Cnc,d,2,5,0,0,2002,4825.00000000,5.503000,13.000,1.160,1232.49300,3.87800,3.080000,0.019000,,,90.000,,0,,,,,,,2452837.690000,44.0000,48.290,,,G8 V,5250.00,0.96,0.95,0.350,[M/H],-0.197,4.42,5.500,1.41851,,38.50,27.25,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,539.1329986,-485.8720000,-233.6510000,12.5855000,79.4274000,6.8160000,5.9508400,4.7680000,4.2650000,4.0150000,,,,,,,,,,5.7297300,5.2058000,,1,11,0
55 Cnc e,55 Cnc,e,2,5,0,0,2004,0.73653900,0.015440,1.910,0.170,8.08000,0.02542,6.400000,0.028000,,1958,83.300,2455733.013000,0,0.4100,0.038000,1.5792000,3.517000,0.01870,0.015400,2447578.215900,157.0000,6.000,72.40,,G8 V,5250.00,0.96,0.90,0.350,[M/H],-0.197,4.42,,1.41851,3.3000,,27.41,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,539.1329986,-485.8720000,-233.6510000,12.5855000,79.4274000,6.8160000,5.9508400,4.7680000,4.2650000,4.0150000,,,,,,,,,,5.7297300,5.2058000,,1,11,3
55 Cnc f,55 Cnc,f,2,5,0,0,2007,262.00000000,0.788000,7.590,0.677,44.81200,0.14100,0.563000,0.305000,,,90.000,,0,,,,,,,2447488.000000,166.0000,4.870,,,,5250.00,0.96,0.95,0.350,[M/H],-0.197,4.42,,1.41851,,,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,539.1329986,-485.8720000,-233.6510000,12.5855000,79.4274000,6.8160000,5.9508400,4.7680000,4.2650000,4.0150000,,,,,,,,,,5.7297300,5.2058000,,1,11,0
6 Lyn b,6 Lyn,b,1,1,0,0,2008,934.30000000,2.110000,13.400,1.190,638.83830,2.01000,1.460000,0.073000,,,,,0,,,,,,,2455384.000000,130.0000,32.800,,,K0 IV,4938.00,5.20,1.44,-0.130,[Fe/H],1.176,3.19,,,1.3200,,,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,340.0415405,-30.4214000,-338.6780000,54.6599000,18.2668000,6.7960000,5.8730700,4.2720000,3.8250000,3.7010000,,,,,,,,,,5.6068600,5.0436000,,1,0,0
61 Vir b,61 Vir,b,1,3,0,0,2009,4.21500000,0.050201,2.110,0.188,5.10000,0.01600,2.980000,0.120000,,,,,0,,,,,,,,105.0000,2.120,,,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],-0.095,4.34,8.960,,1.9000,,,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,1508.8416272,-1070.8100000,-1063.0000000,8.5033200,117.5730000,0.0720000,4.6955000,3.3340000,2.9740000,2.9560000,,,,,,,,,,4.5405200,4.0850000,,1,9,0
